"PageNumber","File","Title","Exists","Mode","HasImg","HasSvgRef","SvgPath","SvgExists","HasEditableExercises","ExerciseCount","EquationCount","NeedsWork","Recommendation"
"62","עמוד-62.html","עמוד 22 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-22.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"63","עמוד-63.html","עמוד 23 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-23.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"64","עמוד-64.html","עמוד 24 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-24.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"65","עמוד-65.html","עמוד 25 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-25.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"66","עמוד-66.html","עמוד 26 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-26.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"67","עמוד-67.html","עמוד 27 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-27.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"68","עמוד-68.html","עמוד 28 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-28.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"69","עמוד-69.html","עמוד 29 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-29.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"70","עמוד-70.html","עמוד 30 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-30.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"71","עמוד-71.html","עמוד 31 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-31.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"72","עמוד-72.html","עמוד 32 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-32.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"73","עמוד-73.html","עמוד 33 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-33.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"74","עמוד-74.html","עמוד 34 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-34.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"75","עמוד-75.html","עמוד 35 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-35.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"76","עמוד-76.html","עמוד 36 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-36.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"77","עמוד-77.html","עמוד 37 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-37.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"78","עמוד-78.html","עמוד 38 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-38.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"79","עמוד-79.html","עמוד 39 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-39.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"80","עמוד-80.html","עמוד 40 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-40.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"81","עמוד-81.html","עמוד 41 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-41.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"82","עמוד-82.html","עמוד 42 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-42.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"83","עמוד-83.html","עמוד 43 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-43.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"84","עמוד-84.html","עמוד 44 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-44.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"85","עמוד-85.html","עמוד 45 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-45.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"86","עמוד-86.html","עמוד 46 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-46.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"87","עמוד-87.html","עמוד 47 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-47.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"88","עמוד-88.html","עמוד 48 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-48.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"89","עמוד-89.html","עמוד 49 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-49.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"90","עמוד-90.html","עמוד 50 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-50.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"91","עמוד-91.html","עמוד 51 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-51.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"92","עמוד-92.html","עמוד 52 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-52.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"93","עמוד-93.html","עמוד 53 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-53.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"94","עמוד-94.html","עמוד 54 — משוואות","True","IMAGE_OR_SVG","True","True","pages/משוואות/assets/page-54.svg","True","False","0","0","True","צריך המרה ל־HTML + MathJax עריך, לא תמונה"
"95","עמוד-95.html","עמוד 1 — משוואות","True","UNKNOWN_HTML","False","False","","False","False","0","0","True","צריך בדיקה ידנית של מבנה הדף"
